,Country,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,NZ,Mataura,-46.1927,168.8643,35.64,95,57,2.17,1601488800
1,PG,Lorengau,-2.0226,147.2712,81.7,76,39,5.39,1601488800
2,AU,Esperance,-33.8667,121.9,56.79,81,0,7.45,1601488800
3,AR,Ushuaia,-54.8,-68.3,33.76,87,88,17.54,1601488800
4,UA,Rokytne,51.2796,27.214,53.55,90,100,9.15,1601488800
5,RU,Dikson,73.5069,80.5464,35.31,90,100,18.92,1601488800
6,IS,Hofn,64.2539,-15.2082,46.13,83,95,11.81,1601488800
7,ZA,East London,-33.0153,27.9116,66.06,78,0,14.14,1601488800
8,AU,Mount Gambier,-37.8333,140.7667,46.2,82,59,5.57,1601488800
9,MZ,Maxixe,-23.8597,35.3472,71.78,90,67,12.68,1601488800
10,EG,Port Said,31.2565,32.2841,80.98,77,0,12.48,1601488800
11,US,Olivehurst,39.0955,-121.5522,86.61,22,46,6.49,1601488800
12,PT,Lata,40.1629,-8.3327,63.14,74,0,6.96,1601488800
13,AR,Mercedes,-34.6515,-59.4307,81.37,48,0,6.08,1601488800
14,RU,Ardon,43.17,44.29,56.86,70,86,2.73,1601488800
15,US,Barrow,71.2906,-156.7887,31.48,98,91,14.94,1601488800
16,CA,Mackenzie,55.2999,-123.1698,55.78,64,1,1.48,1601488800
17,CL,Punta Arenas,-53.15,-70.9167,36.91,67,72,30.18,1601488800
18,BR,Maceió,-9.6658,-35.7353,81.48,63,38,12.06,1601488800
19,CN,Zhangye,38.9342,100.4517,52.38,47,0,3.29,1601488800
20,IN,Tura,25.5198,90.2201,76.14,89,33,1.74,1601488800
21,CN,Longyan,25.1072,117.0225,68.92,87,98,2.15,1601488800
22,RU,Nikolskoye,59.7035,30.7861,51.78,86,12,4.0,1601488800
23,RU,Kimry,56.8667,37.35,55.53,64,69,6.96,1601488800
24,EC,Puerto Ayora,-0.7393,-90.3518,69.91,74,84,11.86,1601488800
25,PF,Rikitea,-23.1203,-134.9692,71.35,82,66,23.38,1601488800
26,CL,Coyhaique,-45.5752,-72.0662,45.91,54,68,16.84,1601488800
27,RU,Lavrentiya,65.5833,-171.0,33.24,91,10,10.31,1601488800
28,VE,San Cristobal,7.7669,-72.225,87.64,40,69,7.45,1601488800
29,US,Bethel,41.3712,-73.414,69.17,50,41,12.01,1601488800
30,MX,San Patricio,19.2167,-104.7,88.97,73,85,7.07,1601488800
31,RU,Kedrovyy,56.1667,91.8167,33.1,84,100,4.34,1601488800
32,AU,Hobart,-42.8794,147.3294,49.17,67,100,5.86,1601488800
33,JP,Hirara,24.8,125.2833,77.88,74,8,20.56,1601488800
34,GL,Qaanaaq,77.484,-69.3632,14.27,81,0,6.69,1601488800
35,RU,Chokurdakh,70.6333,147.9167,33.22,93,20,12.95,1601488800
36,BO,Boyuibe,-20.4167,-63.2833,102.27,18,0,15.88,1601488800
37,BR,Ariquemes,-9.9133,-63.0408,97.29,37,25,3.02,1601488800
38,MU,Bambous Virieux,-20.3428,57.7575,71.96,79,39,7.49,1601488800
39,LY,Nālūt,30.3333,10.85,88.95,17,0,6.22,1601488800
40,ZA,Cape Town,-33.9258,18.4232,54.14,78,77,21.25,1601488800
41,PT,Ponta do Sol,32.6667,-17.1,71.51,76,54,3.11,1601488800
42,US,Westport,41.1415,-73.3579,70.25,44,21,13.78,1601488800
43,RU,Provideniya,64.3833,-173.3,33.69,90,0,6.87,1601488800
44,US,Fairbanks,64.8378,-147.7164,49.44,49,59,9.04,1601488800
45,CA,Tuktoyaktuk,69.4541,-133.0374,36.12,92,86,7.49,1601488800
46,ZA,Hermanus,-34.4187,19.2345,53.74,81,82,17.9,1601488800
47,US,Hilo,19.7297,-155.09,79.74,66,46,3.69,1601488800
48,MX,Tomatlán,19.9333,-105.25,94.59,63,81,2.57,1601488800
49,EG,Ţalkhā,31.0539,31.3779,78.96,71,0,4.99,1601488800
50,US,Windham,41.8334,-72.0001,70.18,55,72,13.94,1601488800
51,BR,Caravelas,-17.7125,-39.2481,82.78,61,20,9.28,1601488800
52,AU,Busselton,-33.65,115.3333,59.34,73,100,14.83,1601488800
53,RU,Yerbogachën,61.2767,108.0108,27.61,92,89,4.32,1601488800
54,NO,Vardø,70.3705,31.1107,49.8,88,74,13.33,1601488800
55,GB,Skegness,53.1436,0.3363,58.19,94,87,18.34,1601488800
56,TM,Bereket,39.2446,55.5154,58.48,32,0,9.15,1601488800
57,MY,Sri Aman,1.2376,111.4621,76.03,94,100,1.21,1601488800
58,SO,Bandarbeyla,9.4942,50.8122,79.97,74,27,20.8,1601488800
59,RE,Saint-Philippe,-21.3585,55.7679,72.16,75,42,8.14,1601488800
60,PF,Atuona,-9.8,-139.0333,78.57,76,6,20.04,1601488800
61,MV,Hithadhoo,-0.6,73.0833,84.04,69,100,6.38,1601488800
62,NU,Alofi,-19.0595,-169.9187,77.97,90,5,8.57,1601488800
63,YT,Koungou,-12.7336,45.2042,79.0,80,10,4.47,1601488800
64,CL,Taltal,-25.4,-70.4833,64.17,57,14,8.05,1601488800
